"Subject","Subject code","Catalog Number","Long Course Title","Description","Units - Units - Units","Units - Repeat for Credit","Signature Learning","Course Attributes","Instructional Components"
"ECON - Economics","ECON","201","Principles of Microeconomics","Principles of choice under scarcity and the role of institutions, especially markets, for the production and distribution of goods and services: what and how much gets produced, how is it produced, and who gets what is produced.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1T), Entrepreneurial Thinking - Related","Lecture, Tutorial"
"ECON - Economics","ECON","203","Principles of Macroeconomics","Measurement of economic activity, economic growth, money and financial systems, international economy and exchange rates, business cycles, unemployment and inflation, and macroeconomic policies.

Corequisite(s): Prerequisite or Corequisite: Economics 201.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1T), Entrepreneurial Thinking - Related","Lecture, Tutorial"
"ECON - Economics","ECON","209","(ENGG 209) Engineering Economics","The basic tools and methodology of engineering economic studies. Topics include investment decisions, theory of replacement, economies of scale, externalities, social decision making and government regulation. Examples are drawn from engineering projects.

Prerequisite(s): Admission to the Schulich School of Engineering with second-year standing or higher.

Antirequisite(s): Credit for Economics 209 and Engineering 209 will not be allowed.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1T), Entrepreneurial Thinking - Related","Lecture, Tutorial"
"-","ECON","295","Introduction to Coding and Data","Introduction to the logic and practice of coding and the core elements of statistical analysis of data as they apply in economics and the social sciences more broadly.

Prerequisite(s): Statistics 213.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","301","Intermediate Economic Theory - Microeconomics I","Economic methodology, consumer theory, theory of the firm, competitive markets, efficiency, and the role of economics in public policy.

Prerequisite(s): Economics 201, 203 and 3 units from Mathematics 249, 265 or 275.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1T), Entrepreneurial Thinking - Related","Lecture, Tutorial"
"ECON - Economics","ECON","303","Intermediate Economic Theory - Macroeconomics I","Theories of long-run economic performance and Keynesian economic models for the analysis of short-run economic fluctuations, the role of expectations, and stabilization policies.

Prerequisite(s): Economics 201, 203 and 3 units from Mathematics 249, 265 or 275.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1T), Entrepreneurial Thinking - Related","Lecture, Tutorial"
"ECON - Economics","ECON","311","Computer Applications in Economics","Use of spreadsheets for economics applications, including project evaluation with financial-economic functions, oil and gas prospect evaluation, investment portfolio management with database functions, database retrieval, and various topics in micro and macroeconomics.

Prerequisite(s): Economics 201.

Antirequisite(s): Credit for Economics 311 and Management Studies 217 will not be allowed.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","321","The Global Trading System","Introduction to the theory of international trade; provides a basis for examining Canadian trade policy, and regional and world trade institutions such as the WTO and NAFTA. Topics include: tariffs, non-tariff barriers and enhancements, countervail and anti-dumping action, multinational enterprises and international joint ventures.	

Prerequisite(s): Economics 201.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","323","Natural Gas Markets","Operation of the natural gas industry in North America. Economics of exploration, development, production, marketing and transportation of natural gas. Impact of government regulations and deregulation.

Prerequisite(s): Economics 201.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","328","Petroleum Economics","Crude oil production and markets in North America and globally. Refining economics and markets for refined products. Government policy including royalty regimes, trade quotas, transport infrastructure, conservation and the environment.

Prerequisite(s): Economics 201.

Antirequisite(s): Credit for Economics 328 and 325 or 327 will not be allowed.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","329","Electricity Markets","Economic analysis of the deregulated electric power industry including the pricing of power, energy and capacity, power supply and demand, market structure, market architecture, and the design and testing of market rules.

Prerequisite(s): Economics 201.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","337","Development Economics","An introduction to developing economies: the meaning, significance and purpose of economic development, major theories of economic development, economic problems of developing countries.	

Prerequisite(s): Economics 201 and 203 or consent of the Department.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related","Lecture"
"ECON - Economics","ECON","339","Canadian Economic History","The growth and development of the Canadian economy in relation to the endowment of natural resources, changing market conditions and technology, and Canadian public policy.	

Prerequisite(s): Economics 201 and 203 or consent of the Department.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","341","Money and Banking","Operation of financial markets and institutions: the principles of money creation, interest rate determination, and central banking.	

Prerequisite(s): Economics 201 and 203.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related","Lecture"
"-","ECON","343","Intro to Financial Economics","Introduces students to accounting statements, asset pricing and the valuation of risky cash flows to develop tools for the quantitative analysis of financing and capital budgeting decisions

Prerequisite(s): 6 units of Economics 201 and 203, and 3 units from Economics 311 or Management Studies 217.

Antirequisite(s): Credit for Economics 343 and any of Finance 317, 341 or 343 will not be allowed.

Also known as: (formerly Economics 457)","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","345","Economic Analysis Of Law I","An introduction to the relationship between law and economics. Economic theory will be used to analyse property and tort law.

Prerequisite(s): Economics 201 or consent of the Department.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","349","The Economics of Social Issues","Contribution that economic analysis can make to the understanding of selected current social issues such as poverty, aging, crime, drug abuse and discrimination.

Prerequisite(s): Economics 201.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related","Lecture"
"ECON - Economics","ECON","353","Chinese Economy","Survey of the economic institutions and processes shaping the Chinese economy, including but not limited to fiscal and monetary policy, financial institutions and financial sector reforms, the restructuring of state-owned enterprises, and the provision of social welfare.

Prerequisite(s): Economics 201 and 203.

Antirequisite(s): Credit for Economics 353 and Economics 399.02 will not be allowed.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","355","Canadian Public Finance","Examination of the institutions behind and economic rationale for Canadian government policy relating to public expenditures and taxation. Topics include the history and present structure of government spending and taxation, tax expenditures, the budgetary process, inter-jurisdictional issues, and program design.	  

Prerequisite(s): Economics 201.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related","Lecture"
"ECON - Economics","ECON","357","Intermediate Economic Theory - Microeconomics II","Intertemporal choice and choice under uncertainty. General equilibrium and the welfare theorems. Public and social choice theory. Market failures: imperfect competition, externalities, public goods, and informational asymmetries.

Prerequisite(s): Economics 301.

Antirequisite(s): Credit for Economics 357 and either 309 or 529 will not be allowed.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1T), Entrepreneurial Thinking - Related","Lecture, Tutorial"
"ECON - Economics","ECON","359","Intermediate Economic Theory-Macroecononics II","Modern intertemporal macroeconomics based on microeconomic foundations. Analysis of market interaction through optimal choices and market clearing within and across time, economic fluctuations, market imperfections, and role of government policies.  

Prerequisite(s): Economics 301 and 303.  

Antirequisite(s): Credit for Economics 359 and either 313 or 531 will not be allowed.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1T), Entrepreneurial Thinking - Related","Lecture, Tutorial"
"ECON - Economics","ECON","371","Economic Analysis of Transportation","Modal choice by passengers, location choice by firms, capital investment choice. Cost, demand, and market structure related to the determination of transportation rates. Cost/benefit analysis of transportation projects. Analysis will be related to contemporary aspects of ocean shipping, air, rail, trucking, pipelines and urban transportation.

Prerequisite(s): Economics 201.","3","No","Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","373","Game Theory and Strategic Thinking for the Social Sciences","Principles of game theory utilizing a non-mathematical and intuitive approach. Strategic reasoning and the use of game theory to explain social interaction. Game theory analysis is illustrated using applications and examples from economics and other social sciences.

Prerequisite(s): Economics 201.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related","Lecture"
"ECON - Economics","ECON","377","Economics and the Environment","Analysis of environmental problems from an economic perspective. Efficient allocation of resources and its implications for air and water quality, waste management, biodiversity and endangered species will be addressed from local as well as global perspectives.

Prerequisite(s): Economics 201.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","379","The Economics of Health","Theories and evidence regarding demand for health and health care, consumer and physician behaviour, asymmetric information in health care markets, and economic evaluation of health care programs.

Prerequisite(s): Economics 201.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","387","Introduction to Mathematical Economics I","Mathematics for economics with an emphasis on economic modeling and equilibrium analysis. Multivariate calculus including comparative statics, unconstrained and constrained optimization, and their applications to resource allocation problems.

Prerequisite(s): Economics 201, 203 and 3 units from Mathematics 249, 265 or 275.

Corequisite(s): Prerequisites or Corequisites: Economics 301 and 303.

Antirequisite(s): Credit for Economics 387 and either 304 or 521 will not be allowed.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1)","Laboratory, Lecture"
"ECON - Economics","ECON","389","Introduction to Mathematical Economics II","Application of linear algebra to economic analysis and optimization. Integration and differential equations and their application in economic analysis.

Prerequisite(s): Economics 387 and Mathematics 211.

Antirequisite(s): Credit for Economics 389 and 304 will not be allowed.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1)","Laboratory, Lecture"
"-","ECON","393","Entertainment Markets","Economics of the creative industries, including filmed entertainment, music, publishing, games, wagering, and live performances.

Prerequisite(s): Economics 201 and 203.

Also known as: (formerly Economics 499.73 (Entertainment Industry Economics) )","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","395","Introduction to Econometrics","Two-variable and multi-variable linear regression models are introduced, developed and evaluated. Topics include basic data manipulation, econometric estimation of economic relationships, model specification and evaluation, hypothesis testing, and binary variables.  

Prerequisite(s): Economics 201, 203; and One of: 6 units Statistics 213 and 217; or 6 units from Statistics 213 and Economics 295;  or 9 units from Statistics 207 and Data Science 305 with 3 units from Data Science 211 or Computer Science 217 or Computer Science 231.","3","No","Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1), Research & Creative Scholarship - Related","Laboratory, Lecture"
"-","ECON","399","Introductory Topics in Economics","Examination of a particular topic. Examples include the economics of sports, the economics of the wine industry, and the economics of popular music.

Prerequisite(s): Economics 201 and 203.

MAY BE REPEATED FOR CREDIT","3","Yes","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","401","Public Sector Economics: Expenditures","Theory of government spending. May include the nature of public goods and externalities, the pricing of public services, causes of growth of public expenditures, expenditure incidence, social insurance, social decision procedures, and political and bureaucratic influences. 

 Prerequisite(s): Economics 357.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related","Lecture"
"ECON - Economics","ECON","403","Public Sector Economics: Taxation","Theory of taxation. May include the rationale for and the incentive effects of taxation, efficiency and equity aspects of taxation, partial and general equilibrium tax incidence, open economy effects, choice of governing instruments, and tax reform.  

Prerequisite(s): Economics 357.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related","Lecture"
"ECON - Economics","ECON","405","Political Economy of Public Policy","Introduction to the economic foundations of political economy and economic models of public sector policy formation. May include the role of institutions in policy design, theories of bureaucracy, political business cycles, the formation and behaviour of interest groups, and the strategic use of government debt.  

Prerequisite(s): Economics 357 and 395.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","411","Computational and Data Methods in Economics","Economic application and utilization of computational methods, programming, and data management. Introduction and use of programming in economic analysis, examples include VBA, R, Python, Mathematica, and MATLAB.

Prerequisite(s): 3 units from Economics 311 or Management Studies 217 and 9 units in Economics 357, 359 and 395.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","423","International Macroeconomics","Foreign exchange markets, and international macroeconomic connections with trade in assets as well as goods and services. May include: alternative exchange rate regimes; monetary and fiscal policy responses to problems of unemployment and inflation; balance of payments adjustment mechanisms; international debt; and Euro-dollar markets.

Prerequisite(s): Economics 357 and 359.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related","Lecture"
"ECON - Economics","ECON","425","International Trade","The general equilibrium treatment of the gains from trade, comparative advantage and trade patterns provides a basis for examining topics such as: trade policy under imperfect competition, trade policy and the environment, trade policy and economic growth, and preferential trading arrangements.  

Prerequisite(s): Economics 303, 357 and 395.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related","Lecture"
"ECON - Economics","ECON","427","Energy Economics and Policy","Microeconomic analysis of the allocation of energy resources with a focus on policy issues including the environment, OPEC, national security, price and entry regulation, market design, and the potential for new energy sources.  

Prerequisite(s): Economics 357.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","429","Advanced Electricity Markets","Market design of electricity markets; transmission regulation, investment and pricing; ancillary service demand, procurement, and regulation; retail competition; and distribution and distributed generation.  

Prerequisite(s): Economics 329 and 357.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","431","Labour Economics","Economic analysis of migration, labour force participation, education, fertility, human resources policy, and the measurement and treatment of unemployment.  

Prerequisite(s): Economics 357 and 395.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","443","The Economics of Financial Markets","Basic functions and structure of financial markets. Economic analysis of trading strategies in financial markets and determinants of equilibrium prices. Institutional features, and analysis, of bond, stock, options, forward and futures markets.  

Prerequisite(s): 3 units from Economics 311, Management Studies 217; 6 units from Economics 303, 357; and 3 units from Economics 343, 457, Finance 317, 341, 343.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","453","Cost-Benefit Analysis","Theoretical basis for social cost-benefit analysis, appraisal techniques for investment projects and public policies, and selected applications.  

Prerequisite(s): Economics 303 and 357; 3 units from Economics 311, Management Studies 217; 3 units from Economics 343, 457, Finance 317, 341, 343.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","471","Industrial Organization","Behaviour of firms in imperfectly competitive markets. May include the theory of strategic competition; dynamic price competition and tacit collusion; product differentiation, product selection, and preemption; entry deterrence and capacity competition; information, reputation, and predation; the economics of research and development; international trade and imperfectly competitive markets.  

Prerequisite(s): Economics 357.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","475","Economics of Natural Resources","Application of economic theory to the problems of natural resource pricing, allocation and conservation. Rent theory, location theory, intertemporal maximization. Natural resource policy formulation. Contemporary Canadian resource problems.  

Prerequisite(s): Economics 357.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","477","Regulatory Economics","An introduction to economic regulation, its rationale, form and effects with a focus on the economic theory of regulation and on the practice, structure, and evolution of Canadian regulatory institutions.  

Prerequisite(s): Economics 395 and 471.","3","No","Entrepreneurial Thinking","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related","Lecture"
"ECON - Economics","ECON","479","Experimental Economics","Introduces students to the use of and insights gained from experiments in economic research. As part of the course, students will be participating in a variety of in-class experiments.  

Prerequisite(s): Economics 357 and 395.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1), Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Laboratory, Lecture"
"ECON - Economics","ECON","481","Behavioural Economics","Major factors underlying economic behaviour including: various views of the role of rationality in economic analysis and in the economic decision making of individuals and institutions; determinants of individual preferences and decision making procedures; the experimental analysis of economic behaviour; inter-relations between the operation of the economic system and feelings of subjective well-being.

Prerequisite(s): Economics 357 and 359.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","483","History of Economic Thought","Traces the evolution of economic ideas from the earliest times up to and including the contributions of the classical economists and Marx. Emphasis will be on understanding these contributions both in terms of their historical context and their relationship to present-day theories and controversies.

Prerequisite(s): Economics 357 and 359.","3","No","-","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0)","Lecture"
"ECON - Economics","ECON","485","Economics of the Welfare State","The focus is on ideas and economic analysis relevant to understanding the economics of the welfare state, where issues of income redistribution and social insurance are central.

Prerequisite(s): Economics 357, 359 and 395.

Antirequisite(s): Credit for Economics 485 and 599.10 will not be allowed.","3","No","Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","487","Environmental Economics","Applies microeconomic theory to the examination of market failures as the source of environmental problems, and to designing and evaluating environmental policies to correct them.  

Prerequisite(s): Economics 303 and 357.  

Antirequisite(s): Credit for Economics 487 and 499.77 will not be allowed.","3","No","Entrepreneurial Thinking, Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Entrepreneurial Thinking - Related, Research & Creative Scholarship - Related","Lecture"
"ECON - Economics","ECON","489","Economics of the Movie Business","Applies microeconomic theory to the motion-picture industry, focusing on how information and extreme uncertainty shape the structure of economic transactions. The historical and institutional illustrations are set in the context of Hollywood.  

Prerequisite(s): Economics 357.

Antirequisite(s): Credit for Economics 489 and 499.63 will not be allowed.","3","No","Research & Creative Scholarship ","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), Research & Creative Scholarship - Related","Lecture"
